@relation MLFeatures.txt

@attribute att1 {s.ONp1021,s.ONp1022,s.ONp1031,s.ONp1032,s.ONp1041,s.ONp1042,s.ONp1051,s.ONp1052,s.ONp1061,s.ONp1062,s.ONp1071,s.ONp1072,s.ONp1081,s.ONp1082,b.ONp1021,b.ONp1022,b.ONp1031,b.ONp1032,b.ONp1041,b.ONp1042,b.ONp1051,b.ONp1052,b.ONp1061,b.ONp1062,b.ONp1071,b.ONp1072,b.ONp1081,b.ONp1082,b-avg-40.ONp5021,b-avg-40.ONp5022,b-avg-40.ONp5031,b-avg-40.ONp5032,b-avg-40.ONp5041,b-avg-40.ONp5042,b-avg-40.ONp5051,b-avg-40.ONp5052,b-avg-40.ONp5061,b-avg-40.ONp5062,b-avg-40.ONp5071,b-avg-40.ONp5072,b-avg-40.ONp5081,b-avg-40.ONp5082,s-avg-40.ONp5021,s-avg-40.ONp5022,s-avg-40.ONp5031,s-avg-40.ONp5032,s-avg-40.ONp5041,s-avg-40.ONp5042,s-avg-40.ONp5051,s-avg-40.ONp5052,s-avg-40.ONp5061,s-avg-40.ONp5062,s-avg-40.ONp5071,s-avg-40.ONp5072,s-avg-40.ONp5081,s-avg-40.ONp5082}
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 {LABELS}
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric

@data
s.ONp1021,5000,50942,20.3768,5000,0,4812,23924,4.7848,0.9624,3.964202,0.000051,0.166403,0.26725,LABELS,0.376621,0.639832,0.089015,1.105467,0.932511,0.958784,0.939184,2.830479,0
s.ONp1022,5000,50272,20.1088,5000,0,4790,22891,4.5782,0.958,3.997627,0.00005,0.167798,0.263939,LABELS,0.40508,0.660649,0.058877,1.124606,0.930475,0.955188,0.936495,2.822158,0
s.ONp1031,5000,50372,20.1488,5000,0,4667,21468,4.2936,0.9334,3.954609,0.000051,0.154687,0.255034,LABELS,0.302515,0.579494,0.041062,0.923071,0.871863,0.924289,0.872503,2.668655,0
s.ONp1032,5000,50354,20.1416,5000,0,4655,21478,4.2956,0.931,3.95965,0.000051,0.155563,0.251018,LABELS,0.299782,0.566943,0.028478,0.895202,0.876489,0.923265,0.884087,2.683841,0
s.ONp1041,5000,50950,20.38,5000,0,4605,21838,4.3676,0.921,3.929165,0.000051,0.153844,0.251212,LABELS,0.242187,0.49972,0.020704,0.762611,0.833862,0.894587,0.837881,2.566329,0
s.ONp1042,5000,49838,19.9352,5000,0,4590,20574,4.1148,0.918,3.965437,0.000051,0.153803,0.250762,LABELS,0.246001,0.529953,0.017943,0.793897,0.825695,0.89135,0.822261,2.539306,0
s.ONp1051,5000,49358,19.7432,5000,0,4535,19007,3.8014,0.907,3.957573,0.000051,0.14497,0.243769,LABELS,0.16366,0.445997,0.014366,0.624023,0.777341,0.853919,0.778731,2.409991,0
s.ONp1052,5000,49794,19.9176,5000,0,4535,19509,3.9018,0.907,3.935408,0.000051,0.143136,0.245647,LABELS,0.152854,0.431077,0.008052,0.591983,0.771868,0.8422,0.769896,2.383965,0
s.ONp1061,5000,49384,19.7536,5000,0,4502,18463,3.6926,0.9004,3.937249,0.000051,0.140147,0.24962,LABELS,0.129683,0.424073,0.010895,0.564651,0.759752,0.848021,0.753589,2.361361,0
s.ONp1062,5000,49742,19.8968,5000,0,4537,18897,3.7794,0.9074,3.937045,0.000051,0.142839,0.255166,LABELS,0.085365,0.36476,0.010942,0.461067,0.748125,0.834237,0.743258,2.325621,0
